Hospital Name,Latitude,Longitude,Current Medicine Stock,Distance
Digjam Circle PHC Jamnagar,22.4707,70.0577,15,4.2
Patel Colony Health Centre Jamnagar,22.4632,70.0689,68,7.5
Bedi Gate PHC Jamnagar,22.4811,70.0412,18,2.1
Lakhota Care Clinic Jamnagar,22.4720,70.0510,9,1.5
Navrangpura Urban PHC Ahmedabad,23.0365,72.5611,12,3.8
Maninagar Community Clinic Ahmedabad,22.9978,72.6033,55,8.2
Bodakdev Health Centre Ahmedabad,23.0384,72.5119,14,6.4
Chandkheda Primary Care Ahmedabad,23.1118,72.5824,42,12.1
Sector 2 PHC Gandhinagar,23.2390,72.6515,16,5.3
Kudasan Health Centre Gandhinagar,23.1780,72.6320,74,9.0
Infocity Wellness Post Gandhinagar,23.1930,72.6285,19,4.7
Green Valley PHC,22.4707,70.0577,15,4.2
Sunrise Health Centre,22.4632,70.0689,68,7.5
Metro Care Clinic,22.4811,70.0412,18,2.1
Oakridge Community Hospital,22.4550,70.0820,45,11.3
Riverside Health Post,22.4925,70.0350,12,6.8
Hilltop Medical Clinic,22.4410,70.0955,85,14.2
Central Wellness PHC,22.4720,70.0510,9,1.5
Cedar Grove Health Centre,22.4680,70.0740,55,5.9
Lakeside Primary Care,22.4855,70.0298,34,8.4
Silver Oak Clinic,22.4590,70.0620,19,3.7
Breeze Point PHC,22.4795,70.0488,72,2.8
Apex Rural Health Center,22.4350,70.1102,14,16.0Sector 24 Urban Health Centre Gandhinagar,23.2480,72.6280,63,6.8
