Hospital Name,Latitude,Longitude,Current Medicine Stock,Distance
Green Valley PHC,22.4707,70.0577,15,4.2
Sunrise Health Centre,22.4632,70.0689,68,7.5
Metro Care Clinic,22.4811,70.0412,18,2.1
Oakridge Community Hospital,22.4550,70.0820,45,11.3
Riverside Health Post,22.4925,70.0350,12,6.8
Hilltop Medical Clinic,22.4410,70.0955,85,14.2
Central Wellness PHC,22.4720,70.0510,9,1.5
Cedar Grove Health Centre,22.4680,70.0740,55,5.9
Lakeside Primary Care,22.4855,70.0298,34,8.4
Silver Oak Clinic,22.4590,70.0620,19,3.7
Breeze Point PHC,22.4795,70.0488,72,2.8
Apex Rural Health Center,22.4350,70.1102,14,16.0
